@relation arceneGPData

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 {' class-2',' class-1'}

@data
0.123134,0.050245,0,0.273913,0,0,0.199742,0,0,0,0.066667,0.009009,0.763514,0,0.03504,0,0.478723,0.198895,0,0,0,0.58104,0.331818,0,0,0,0,0.11942,0,0,0.231939,0.766721,0,0,0.175532,0,0,0.831019,0,0,0.536857,0.672131,0,0.273585,0.083541,0,0.5,0,0,0,0,0,0.093834,0,0,0.634615,0.115016,0.286982,0,0.695652,0.048387,0,0,0,0,0.875,0,0,0,' class-2'
0.169776,0.153186,0,0.673913,0,0,0.311856,0,0,0,0.333333,0.150901,0.202703,0.265734,0.072776,0.266667,0.598404,1,0,0.243902,0,0.825688,0.159091,0.265625,0.470803,0,0,0.090402,0.229008,0,0.342205,0.972268,0,0,1,0.590361,0,0.958333,0.288462,0,0.479833,0.89071,0,0,0.274314,0.457447,0,0.093458,0,0.075067,0.523077,0,0.13941,0,0,0.910256,0.741214,0.230769,0,0.843478,0.591398,0,0,0.15534,0.005405,0.889286,0.011331,0,0,' class-1'
0.080224,0.022059,0,0.134783,0,0,0.128866,0.056818,0,0.467532,0,0.038288,0.165541,0.447552,0,0,0.635638,0,0,0,0,0.669725,0.281818,0,0,0,0,0.011161,0,0,0.144487,0.699837,0,0,0.175532,0,0,0.717593,0.072115,0.060606,0.470097,0.923497,0,0,0.064838,0,0.130435,0.084112,0,0,0,0,0.018767,0,0.423913,0.583333,0,0.242604,0,0.795652,0.22043,0,0,0,0,0.921429,0,0,0,' class-2'
0.104478,0.129902,0.020513,1,0.441176,0,0.539948,0,0.075472,0.038961,0,0.108108,0.202703,0.503497,0.072776,0,0.449468,0.828729,0,0.065041,0,0.574924,0.231818,0,0.041971,0,0,0.199777,0.290076,0,0.174905,0.727569,0,0,0.090426,0,0,0.777778,0.456731,0.030303,0.517385,0.562842,0,0.056604,0.330424,0.37234,0.210145,0,0,0,0.184615,0,0.005362,0,0,0.371795,0.658147,0.269231,0.118081,0.782609,0.053763,0,0,0.300971,0,0.75,0.161473,0,0,' class-2'
0.283582,0.523284,0,0,0,0,0.639175,0,0,0,0,0.105856,0.466216,0,0.254717,0,0.050532,0,0.308824,0,0,0.415902,0.331818,0,0,0.019493,0.013483,0.385045,0,0,0.422053,0.685155,0,0,0.037234,0,0,0.180556,0.182692,0.626263,0.956885,0.52459,0.006024,0.254717,0.357855,0,0.297101,0,0,0,0,0,0.855228,0,0,0.301282,0,0.831361,0.084871,0.004348,0.075269,0,0,0,0.562162,0.464286,0,0,0,' class-1'
0.891791,0.938725,0.123077,0,0,0,0.957474,0,0,0,0.013333,0.801802,0.300676,0.713287,0.385445,0,0,0.436464,0,0.317073,0,0,0.372727,0.171875,0,0.567251,0.510112,0.513393,0.900763,0,0.296578,0,0,0.002433,0,0.228916,0,0.844907,0.072115,0,0,0,0,0,0.945137,0,0.23913,0.579439,0.752688,0.238606,0.492308,0.249012,0.522788,0,0,0,0.051118,0,0.273063,0,0.22043,0,0.477273,0.446602,0.205405,0.889286,0,0.72997,0,' class-1'
0.378731,0.334559,0,0,0,0,0.438144,0.060606,0,0,0,0.108108,0.10473,0,0.095687,0,0.207447,0,0,0,0,0.599388,0.159091,0,0,0,0,0.202009,0,0,0.646388,0.871126,0,0,0,0,0,0.298611,0.384615,0,0.987483,0.650273,0,0,0.236908,0,0.391304,0,0,0,0,0,0.922252,0,0,0.435897,0,0.612426,0,0.091304,0.037634,0,0,0,0.383784,0.392857,0,0.017804,0,' class-2'
0.384328,0.324755,0,0,0,0,0.488402,0.041667,0,0,0.746667,0.157658,0.226351,0.587413,0.172507,0,0.220745,0,0,0,0,0.620795,0.045455,0,0,0.081871,0,0.351563,0,0,0.673004,0.848287,0,0,0,0,0,0.296296,0.471154,0.232323,0.735744,0.704918,0.183735,0.103774,0.276808,0,0.065217,0.420561,0,0,0,0,0.991957,0,0,0.480769,0,0.476331,0,0.265217,0.032258,0,0,0,0.237838,0.464286,0,0.023739,0,' class-1'
0.01306,0.053922,0,0.291304,0,0,0.194588,0.128788,0,0,0.64,0.015766,0.141892,0.517483,0.030997,0,0.417553,0.331492,0,0,0,0.752294,0.063636,0,0,0,0,0.125,0,0,0.091255,0.676998,0,0,0,0,0,0.571759,0.125,0,0.400556,0.409836,0,0.018868,0.117207,0,0.184783,0,0,0,0,0,0,0,0,0.846154,0.13099,0.402367,0,0.865217,0.252688,0,0,0,0,0.75,0,0,0,' class-1'
0.436567,0.854167,0.102564,0,0,0.657895,0.832474,0,0,0,0,0.220721,0.054054,0.300699,0.96496,0.133333,0.470745,0.618785,0,0.886179,0,0.507645,0.231818,1,0.009124,0.136452,0.507865,0.71875,0.312977,0.596774,1,0.236542,0,0.63747,0,0.445783,0,0.259259,0.038462,0,0.114047,0.300546,0.605422,0,0.715711,0,0.076087,0.308411,0,0,0,0.061265,0.292225,0,0,0.25641,0,0.35503,0.346863,0.056522,0.134409,0,0,0.796117,0.221622,0.342857,0,0.237389,0,' class-1'
