@relation sf.txt

@attribute ' 3.060000' numeric
@attribute ' 2.800000' numeric
@attribute ' class-1' {' class-1',' class-2',' class-3'}

@data
2.76,2.65,' class-1'
3.24,2.8,' class-1'
3.49,3.85,' class-1'
2.69,2.8,' class-1'
3.39,3.27,' class-1'
2.52,2.5,' class-1'
2.51,2.6,' class-1'
2.98,2.8,' class-1'
3.15,2.98,' class-1'
3.32,2.95,' class-1'
2.43,2.2,' class-1'
2.76,2.6,' class-1'
3.69,3.1,' class-1'
3.64,3.3,' class-1'
2.91,2.85,' class-1'
3.14,2.8,' class-1'
3.4,2.95,' class-1'
3.93,3.3,' class-1'
3.03,2.7,' class-1'
3.17,3,' class-1'
2.41,2.41,' class-1'
2.88,2.61,' class-1'
2.37,2.48,' class-1'
2.61,2.53,' class-1'
2.68,2.63,' class-1'
2.94,2.85,' class-1'
2.19,2.4,' class-1'
2.97,2.95,' class-1'
2.33,2.65,' class-1'
3.25,3,' class-1'
3.19,2.86,' class-1'
2.69,2.42,' class-1'
2.74,2.95,' class-1'
2.53,2.35,' class-1'
2.98,2.7,' class-1'
2.68,2.6,' class-1'
2.43,2.45,' class-1'
2.64,2.4,' class-1'
3.04,3,' class-1'
3.29,3.15,' class-1'
2.68,2.45,' class-1'
3.56,3.25,' class-1'
2.63,2.64,' class-1'
3,3,' class-1'
2.65,2.85,' class-1'
3.17,3.25,' class-1'
3.39,3.1,' class-1'
2.92,2.75,' class-1'
3.54,2.88,' class-1'
3.27,2.72,' class-1'
2.99,2.45,' class-1'
3.74,3.88,' class-1'
2.79,3,' class-1'
2.9,2.6,' class-1'
2.78,2.96,' class-1'
3,3.2,' class-1'
3.23,3,' class-1'
3.67,3.4,' class-1'
0.57,1.98,' class-2'
1.09,2.05,' class-2'
1.41,2.02,' class-2'
1.79,2.1,' class-2'
3.1,3.5,' class-2'
1.75,1.89,' class-2'
2.65,2.42,' class-2'
3.18,2.98,' class-2'
2,2.11,' class-2'
1.3,2.53,' class-2'
1.28,1.85,' class-2'
1.02,1.1,' class-2'
2.86,2.95,' class-2'
1.84,1.88,' class-2'
2.89,3.3,' class-2'
2.14,3.38,' class-2'
1.57,1.61,' class-2'
2.03,1.95,' class-2'
1.32,1.72,' class-2'
1.85,1.9,' class-2'
2.55,2.83,' class-2'
2.26,2.42,' class-2'
2.53,2.2,' class-2'
1.58,2,' class-2'
1.59,1.65,' class-2'
2.21,2.2,' class-2'
1.94,2.2,' class-2'
1.69,1.78,' class-2'
1.61,1.92,' class-2'
1.69,1.95,' class-2'
1.59,2.2,' class-2'
1.5,1.6,' class-2'
1.25,1.45,' class-2'
1.46,1.38,' class-2'
2.25,2.45,' class-2'
2.26,3.02,' class-2'
2.27,2.5,' class-2'
0.99,1.6,' class-2'
2.5,2.55,' class-2'
3.75,3.52,' class-2'
2.99,2.85,' class-2'
2.17,2.23,' class-2'
1.36,1.45,' class-2'
2.11,2.56,' class-2'
1.64,2.5,' class-2'
1.92,2.2,' class-2'
1.84,1.68,' class-2'
2.03,1.65,' class-2'
1.76,1.38,' class-2'
2.04,2.36,' class-2'
2.92,2.74,' class-2'
2.58,3.18,' class-2'
2.27,2.55,' class-2'
2.03,1.75,' class-2'
2.01,2.48,' class-2'
2.29,2.56,' class-2'
2.17,2.46,' class-2'
1.6,1.98,' class-2'
2.09,2,' class-2'
1.25,1.63,' class-2'
1.64,2,' class-2'
2.79,2.9,' class-2'
5.08,3.18,' class-2'
2.13,2.2,' class-2'
2.65,2.62,' class-2'
3.03,2.86,' class-2'
2.65,2.6,' class-2'
3.15,2.74,' class-2'
2.24,2.13,' class-2'
2.45,2.22,' class-2'
1.75,2.1,' class-2'
1.25,1.51,' class-3'
1.22,1.3,' class-3'
1.09,1.15,' class-3'
1.2,1.7,' class-3'
0.58,2,' class-3'
0.66,1.62,' class-3'
0.47,1.38,' class-3'
0.6,1.79,' class-3'
0.48,1.62,' class-3'
0.6,2.32,' class-3'
0.5,1.54,' class-3'
0.5,1.4,' class-3'
0.52,1.55,' class-3'
0.8,2,' class-3'
0.78,1.38,' class-3'
0.55,1.5,' class-3'
0.34,0.98,' class-3'
0.65,1.7,' class-3'
0.76,1.93,' class-3'
1.39,1.41,' class-3'
1.57,1.4,' class-3'
1.36,1.48,' class-3'
1.28,2.2,' class-3'
0.83,1.8,' class-3'
0.58,1.48,' class-3'
0.63,1.74,' class-3'
0.83,1.8,' class-3'
0.58,1.9,' class-3'
1.31,2.8,' class-3'
1.1,2.6,' class-3'
0.92,2.3,' class-3'
0.56,1.83,' class-3'
0.6,1.65,' class-3'
0.7,1.39,' class-3'
0.68,1.35,' class-3'
0.47,1.28,' class-3'
0.92,1.7,' class-3'
0.66,1.48,' class-3'
0.84,1.55,' class-3'
0.96,1.98,' class-3'
0.49,1.25,' class-3'
0.51,1.39,' class-3'
0.7,1.68,' class-3'
0.61,1.68,' class-3'
0.75,1.8,' class-3'
0.69,1.59,' class-3'
0.68,1.65,' class-3'
0.76,2.05,' class-3'
