@relation wd.txt

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 {' class-0',' class-1'}

@data
1001,0.3001,122.8,10.38,' class-0'
1326,0.0869,132.9,17.77,' class-0'
1203,0.1974,130,21.25,' class-0'
386.1,0.2414,77.58,20.38,' class-0'
1297,0.198,135.1,14.34,' class-0'
477.1,0.1578,82.57,15.7,' class-0'
1040,0.1127,119.6,19.98,' class-0'
577.9,0.09366,90.2,20.83,' class-0'
519.8,0.1859,87.5,21.82,' class-0'
475.9,0.2273,83.97,24.04,' class-0'
797.8,0.03299,102.7,23.24,' class-0'
781,0.09954,103.6,17.89,' class-0'
1123,0.2065,132.4,24.8,' class-0'
782.7,0.09938,103.7,23.95,' class-0'
578.3,0.2128,93.6,22.61,' class-0'
658.8,0.1639,96.73,27.54,' class-0'
684.5,0.07395,94.74,20.13,' class-0'
798.8,0.1722,108.1,20.68,' class-0'
1260,0.1479,130,22.15,' class-0'
566.3,0.06664,87.46,14.36,' class-1'
520,0.04568,85.63,15.71,' class-1'
273.9,0.02956,60.34,12.44,' class-1'
704.4,0.2077,102.5,14.26,' class-0'
1404,0.1097,137.2,23.04,' class-0'
904.6,0.1525,110,21.38,' class-0'
912.7,0.2229,116,16.4,' class-0'
644.8,0.1425,97.41,21.53,' class-0'
1094,0.149,122.1,20.25,' class-0'
732.4,0.1683,102.4,25.27,' class-0'
955.1,0.09875,115,15.05,' class-0'
1088,0.2319,124.8,25.11,' class-0'
440.6,0.1218,77.93,18.7,' class-0'
899.3,0.2417,112.8,23.98,' class-0'
1162,0.1657,127.9,26.47,' class-0'
807.2,0.1354,107,17.88,' class-0'
869.5,0.1348,110.1,21.59,' class-0'
633,0.1319,93.63,21.72,' class-0'
523.8,0.02562,82.61,18.42,' class-1'
698.8,0.02398,95.54,25.2,' class-0'
559.2,0.1063,88.4,20.82,' class-0'
563,0.0311,86.18,21.58,' class-0'
371.1,0.1044,71.9,21.35,' class-0'
1104,0.2107,128.3,24.81,' class-0'
545.2,0.09847,87.32,20.28,' class-0'
531.5,0.08259,85.42,21.81,' class-0'
1076,0.1974,123.7,17.6,' class-0'
201.9,0.01588,51.71,16.84,' class-1'
534.6,0.1226,85.98,18.66,' class-0'
449.3,0.06592,78.04,14.63,' class-1'
561,0.04751,86.91,22.3,' class-1'
427.9,0.01657,74.72,21.6,' class-1'
571.8,0.01857,87.21,16.34,' class-1'
437.6,0.01972,75.71,18.24,' class-1'
1033,0.1772,120.3,18.7,' class-0'
712.8,0.05253,97.26,22.02,' class-0'
409,0.03036,73.34,18.75,' class-1'
1152,0.1323,125.5,18.57,' class-0'
656.9,0.1293,95.55,21.59,' class-0'
